Título,Abstract,Autores,DOI,Ano,Tipo_arquivo,Fonte,Status,Criterio_de_exclusao,Situacao,Descrição da aplicação,Coluna 1,,
Application of Quantum Tensor Networks for Protein Classification,"Computational methods in drug discovery significantly reduce both time and experimental costs. Nonetheless, certain computational tasks in drug discovery can be daunting with classical computing techniques which can be potentially overcome using quantum computing. A crucial task within this domain involves the functional classification of proteins. However, a challenge lies in adequately representing lengthy protein sequences given the limited number of qubits available in existing noisy quantum computers. We show that protein sequences can be thought of as sentences in natural language processing and can be parsed using the existing Quantum Natural Language framework into parameterized quantum circuits of reasonable qubits, which can be trained to solve various protein-related machine-learning problems. We classify proteins based on their sub-cellular locations - a pivotal task in bioinformatics that is key to understanding biological processes and disease mechanisms. Leveraging the quantum-enhanced processing capabilities, we demonstrate that Quantum Tensor Networks (QTN) can effectively handle the complexity and diversity of protein sequences. We present a detailed methodology that adapts QTN architectures to the nuanced requirements of protein data, supported by comprehensive experimental results. We demonstrate two distinct QTNs, inspired by classical recurrent neural networks (RNN) and convolutional neural networks (CNN), to solve the binary classification task mentioned above. Our top-performing quantum model has achieved a 94% accuracy rate, which is comparable to the performance of a classical model that uses the ESM2 protein language model embeddings. It's noteworthy that the ESM2 model is extremely large, containing 8 million parameters in its smallest configuration, whereas our best quantum model requires only around 800 parameters. We demonstrate that these hybrid models exhibit promising performance, showcasing their potential to compete with classical models of similar complexity. © 2024 ACM.",Kundu D.; Ghosh A.; Ekambaram S.; Wang J.; Dokholyan N.; Ghosh S.,10.1145/3649476.3658701,2024,Conference paper,Scopus,Aceito,,,Classificação de proteínas usando abordagens de Natural Language Processing e abordagens quânticas,,Descrição,Valor
"1st International Conference on Innovation and Emerging Trends in Computing and Information Technologies, IETCIT 2024",The proceedings contain 44 papers. The special focus in this conference is on Innovation and Emerging Trends in Computing and Information Technologies. The topics include: Smallest Path Planning for Robots Using Simple ACO and Ant System Algorithms; An Asymmetric Single Channel Encryption Mechanism Using Unequal Modulus and QZS Algorithm in Fractional Fourier Transform; evaluation Criteria for Test Suites in Software Developed Through Test-Driven Development; LCB-eGyan Model: A Dynamic Cloud Architecture for e-Content Recommendation; gender and Ethnicity Recognition System Based on Convolutional Neural Networks; Radiographic Evaluation for KNEEXNET Using Ensemble Models; comparative Study of Quantum Computing Tools and Frameworks; security Evaluation and Oversight in Stock Trading Using Artificial Intelligence; A Dual Approach with Grad-CAM and Layer-Wise Relevance Propagation for CNN Models Explainability; CLAM – CNN and LSTM with Attention Mechanism for DNS Data Exfiltration Detection; comparison of Various Data Mining Techniques for Fake Profile Detection on Twitter; Strategies for Gen AI Enterprise Adoption; role of Deep Learning in Skin Cancer Diagnosis: A Deeper Insight; smart Education-Filtering Real Time Stream; RNA and Audio-Based Workflows Scheduling by Multi-Objective Optimization in Cloud Environment; group Authentication and Key Management Protocol with Chinese Remainder Theorem in Multicast Communication; network Traffic Analysis for Intrusion with Zero Trust; enhanced Image Deblurring with the Fusion of Generative Adversarial Networks and Transformer Models; analysis of Various Routing Protocols for Air Pollution Monitoring Systems in Wireless Sensor Networks; Intelligent Toll Management Using Limited CNN-Based Vehicle Classification; optimizing Software Demands Using Fuzzy-Based Evaluation Techniques.,,,2025,Conference review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,Data da última busca,06/07/2025
"Proceedings - 2024 IEEE 6th International Conference on Trust, Privacy and Security in Intelligent Systems, and Applications, TPS-ISA 2024","The proceedings contain 68 papers. The topics discussed include: large language models for hardware security; statistical methods for developing cybersecurity response thresholds for operational technology systems using historical data; formal verification of a nuclear plant thermal dispatch operation using system decomposition; development of a cyber-physical model and emulation of an oil and gas compressor station for cybersecurity research and development; secure lightweight computation for federated N-Gram language model; towards inclusive cybersecurity: protecting the vulnerable with social cyber vulnerability metrics; towards efficient and secure quantum-classical communication networks; defensive priorities in securing space-based infrastructure dependencies; and the intersection of quantum computing, AI, and cybersecurity: challenges and opportunities.",,,2024,Conference review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,Scopus (documentos encontrados),269
Semantic Similarities Using Classical Embeddings in Quantum NLP,"We demonstrate how word and text embeddings as n-dimensional real vectors used in classical Natural Language Processing (NLP)/AI applications can be mapped to quantum states or quantum embedding representations in Quantum Applications using NLP and AI. Models like fastText [1], [2], GloVe [3], Numberbatch [4], or BERT [5] are common NLP embedding vectors or models that encode semantic properties of words or text fragments. We use these models to evaluate mapping properties and compression rate, as well as information preservation in quantum embeddings. For mapping embedding vectors to quantum states, we use encoding strategies, such as Amplitude Encoding. The encoding strategies allow us to map large dense vectors from the embedding models to compact quantum states using different compression ratios. The compression with Amplitude Encoding can be 2n to N, resulting in a mapping of a 1,024-dimensional vector of reals in the classical environment to a 10-qubit state. The goal of this work is to evaluate these strategies with respect to their compression ratio and measure the preservation of semantic information using similarity scores. We show that the resulting quantum embeddings based on mapped classical computing embeddings exhibit the same relational properties and that there is no significant loss of semantic information in the conversion from classical n-dimensional real vector embeddings to qubit states. We conclude that the experimental results allow us to quantum compute semantic similarities of words or text, reusing existing and freely available embedding models from classical NLP/AI computing. © 2024 IEEE.",Cavar D.; Zhang C.,10.1109/QCE60285.2024.10350,2024,Conference paper,Scopus,Aceito,,,"Compara os embeddings clássicos a abordagem de embeddings quanticos, usando estado quantico para preservar as propriedades semanticas dos textos",,WoS (documentos encontrados),193
"1st International Research Conference on Computing Technologies for Sustainable Development, IRCCTSD 2024",The proceedings contain 82 papers. The special focus in this conference is on Computing Technologies for Sustainable Development. The topics include: Towards Scalable and Cost-Effective Design for Intrusion Detection for IIoT Environment Using Metric Active Learning; an Interactive Dashboard for Investigating Water Potability in Telangana State; efficient Multi-operand Binary Tree Adder with Minimal Area Delay and Energy Consumption; developing Simulink Model of Microgrid Energy Management System and Optimizing Electricity Cost Using Linear Optimization Approach; advancing Smart Water Management: Integrating Invasive and Non-invasive IoT Sensors for Sustainable Hot and Cold-Water Usage Monitoring; atmospheric River Detection - A Survey on Deep Learning and Quantum Neural Networks; emotion Recognition Using Text in a Chatbot Using Logistic Regression; Sign Language Recognition System for Seamless Human-AI Interaction; Indian Sign Language Gesture Recognition Using Bi-Directional LSTM and GRU with Text to Speech Conversion; comprehensive Exploration of Facial Emotion Recognition Using Conventional Machine Learning and Transfer Learning Models; type Sculpt: Text-to-3D Generation with Personalized Precision Using Adaptive Attention Mechanism; carnatic Raga Recognition Using Deep Learning Techniques; visual Verse 2.0: Image Generation with Image Inpaiting; Data Brain: Streamlining Data Science with AI-Assisted Conversations; semantic Segmentation of Satellite Imagery Using Optimized U-Net Model; video Caption Generation Using Deep Learning; leveraging LangChain Framework and Large Language Models for Conversational Chatbot Development; Designing of In-Memory Computing SRAM Energy-Efficient for Artificial Intelligence; integrating Students as Academic Partners in Software Engineering: A Group Software Development Case Study; chattitude in Education: Chatbot Expertise for Educational System; PDFQA: A PDF Question Answering System.,,,2025,Conference review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,Após remover os duplicados,227
"1st International Research Conference on Computing Technologies for Sustainable Development, IRCCTSD 2024",The proceedings contain 82 papers. The special focus in this conference is on Computing Technologies for Sustainable Development. The topics include: Towards Scalable and Cost-Effective Design for Intrusion Detection for IIoT Environment Using Metric Active Learning; an Interactive Dashboard for Investigating Water Potability in Telangana State; efficient Multi-operand Binary Tree Adder with Minimal Area Delay and Energy Consumption; developing Simulink Model of Microgrid Energy Management System and Optimizing Electricity Cost Using Linear Optimization Approach; advancing Smart Water Management: Integrating Invasive and Non-invasive IoT Sensors for Sustainable Hot and Cold-Water Usage Monitoring; atmospheric River Detection - A Survey on Deep Learning and Quantum Neural Networks; emotion Recognition Using Text in a Chatbot Using Logistic Regression; Sign Language Recognition System for Seamless Human-AI Interaction; Indian Sign Language Gesture Recognition Using Bi-Directional LSTM and GRU with Text to Speech Conversion; comprehensive Exploration of Facial Emotion Recognition Using Conventional Machine Learning and Transfer Learning Models; type Sculpt: Text-to-3D Generation with Personalized Precision Using Adaptive Attention Mechanism; carnatic Raga Recognition Using Deep Learning Techniques; visual Verse 2.0: Image Generation with Image Inpaiting; Data Brain: Streamlining Data Science with AI-Assisted Conversations; semantic Segmentation of Satellite Imagery Using Optimized U-Net Model; video Caption Generation Using Deep Learning; leveraging LangChain Framework and Large Language Models for Conversational Chatbot Development; Designing of In-Memory Computing SRAM Energy-Efficient for Artificial Intelligence; integrating Students as Academic Partners in Software Engineering: A Group Software Development Case Study; chattitude in Education: Chatbot Expertise for Educational System; PDFQA: A PDF Question Answering System.,,,2025,Conference review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,Após remover artigos incompatíveis,115
Enhancing Contextual Understanding in Knowledge Graphs: Integration of Quantum Natural Language Processing with Neo4j LLM Knowledge Graph,"Traditional Knowledge Graphs (KGs), such as Neo4j, face challenges in managing high-dimensional relationships and capturing semantic nuances due to their deterministic nature. Quantum Natural Language Processing (QNLP) introduces probabilistic reasoning into the KG context. This integration leverages quantum principles, such as superposition, which allows relationships to exist in multiple states simultaneously, and entanglement, where the state of one entity dynamically influences the state of another. This quantum-based probabilistic reasoning provides a richer, more flexible representation of connections, moving beyond binary relationships to model the nuances and variability of real-world interactions. Our research demonstrates that QNLP enhances Neo4j's ability to analyze context-rich data, improving tasks like entity extraction and knowledge inference. By modeling relationship states probabilistically, QNLP addresses limitations in traditional methods, providing nuanced insights and enabling more advanced, context-aware NLP applications. © 2024 IEEE.",Bharti S.; Lo D.C.-T.; Shi Y.,10.1109/BigData62323.2024.10826002,2024,Conference paper,Scopus,Aceito,,,"Melhora a abordagem classica de grafos de conhecimento a partir da aplicação de Quantum Natural Language Processing, melhorando a captura de contexto em relação a métodos tradicionais.",,Objetivo: Buscar artigos que apliquem processamento de linguagem natural e quantum computing em tarefas.,
"Photonics for Neuromorphic Computing: Fundamentals, Devices, and Opportunities","In the dynamic landscape of Artificial Intelligence (AI), two notable phenomena are becoming predominant: the exponential growth of large AI model sizes and the explosion of massive amount of data. Meanwhile, scientific research such as quantum computing and protein synthesis increasingly demand higher computing capacities. As the Moore's Law approaches its terminus, there is an urgent need for alternative computing paradigms that satisfy this growing computing demand and break through the barrier of the von Neumann model. Neuromorphic computing, inspired by the mechanism and functionality of human brains, uses physical artificial neurons to do computations and is drawing widespread attention. This review studies the expansion of optoelectronic devices on photonic integration platforms that has led to significant growth in photonic computing, where photonic integrated circuits (PICs) have enabled ultrafast artificial neural networks (ANN) with sub-nanosecond latencies, low heat dissipation, and high parallelism. In particular, various technologies and devices employed in neuromorphic photonic AI accelerators, spanning from traditional optics to PCSEL lasers are examined. Lastly, it is recognized that existing neuromorphic technologies encounter obstacles in meeting the peta-level computing speed and energy efficiency threshold, and potential approaches in new devices, fabrication, materials, and integration to drive innovation are also explored. As the current challenges and barriers in cost, scalability, footprint, and computing capacity are resolved one-by-one, photonic neuromorphic systems are bound to co-exist with, if not replace, conventional electronic computers and transform the landscape of AI and scientific computing in the foreseeable future. © 2024 Wiley-VCH GmbH.",Li R.; Gong Y.; Huang H.; Zhou Y.; Mao S.; Wei Z.; Zhang Z.,10.1002/adma.202312825,2025,Review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,,
An application-agnostic AI platform to accelerate Machine Learning adoption for basic to hard ML/DL scientific use cases,"Researchers at INFN (National Institute for Nuclear Physics) face challenges from basic to hard science use cases (e.g., big-data latest generation experiments) in many areas: High Energy Physics (HEP), Astrophysics, Quantum Computing, Genomics, etc. Machine Learning (ML) adoption is ubiquitous in these areas, requiring researchers to solve problems related to the specificity of applications (e.g., tailored models and intricate domain knowledge), but also requiring solving general infrastructure-level and ML-workflow related problems. As the demand for ML solutions continues to rise across the diverse research domains, there exists a critical need for an innovative approach to accelerate ML adoption. In this regard we introduce an Artificial Intelligence (AI) platform designed as an application-agnostic Machine Learning as a Service (MLaaS) solution. The platform provides a paradigm shift by offering a flexible and generalized infrastructure that decouples the ML development process from the specific use cases. The AI platform is implemented as a software layer on top of our cloud platform: the INFN Cloud, a dedicated, geographically distributed infrastructure which offers composable, scalable, and open-source solutions. The AI platform leverages INFN Cloud resources and principles, gathering and orchestrating technologies to support end-to-end scalable ML solutions: Kubernetes, Kubeflow, KServe, KNative, Kueue, Horovod, etc., ensuring support for several ML frameworks: TensorFlow, PyTorch, Apache MXNet, XGBoost, etc. This paper describes the platform’s design and principles, as well as some selected use cases from Natural Language Processing and HEP domains that can take advantage of the “aaS” approach. © Copyright owned by the author(s)",Gattari M.; Giommi L.; Antonacci M.; Vino G.,10.22323/1.458.0026,2024,Conference paper,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
"11th Latin American High Performance Computing Conference, CARLA 2024","The proceedings contain 21 papers. The special focus in this conference is on Latin American High Performance Computing. The topics include: High Performance Computing for Auto Supervised Machine Learning Training: Parallel-Distributed Implementation of the Word2Vec Algorithm for Training Word Embeddings; A Comprehensive Analysis of Process Energy Consumption on Multi-socket Systems with GPUs; Enhancing Reverse Time Migration Simulations in HPC Systems Through I/O and Computation Overlapping; Evaluation of Computational and Power Performance in Matrix Multiplication Libraries - MKL Vs cuBLAS; a User-Centric Evaluation Methodology for Informed Provisioning of High Performance Computing Resources in Academic Institutions; efiMon: A Process Analyser for Granular Power Consumption Prediction; Leveraging CPU-FPGA Co-design for Matrix Profile Computation; Web System for Recognizing Actions of Physical Violence in Urban Spaces Using CNN with Transfer Learning; Quantized SG-MCMC for Bayesian Deep Posterior Compression; no Plankton Left Behind: Preliminary Results on Massive Plankton Image Recognition; Machine Learning Regression-Based Prediction for Improving Performance and Energy Consumption in HPC Platforms; a Computational Framework for Crop Yield Estimation and Phenological Monitoring; Histopathology Image Augmentation Through StyleGAN2-ADA; strategies to Reduce Memory Consumption in Software Quantum Computing Simulators; Adaptive Edge-Based AIoT Architecture for Efficient Retraining and Sustainable Monitoring of Ephemeral Streams; Multi-GPU Tomographic Reconstructions of Large Volumes in the Frequency Domain; Accelerating Tomographic Artifact Removal Using a Multi-GPU System; a Parallel Multi-threading Global Energy Balance for a Room Thermal Analysis in an Unsteady State; Parallel Computing Strategies in WRF: The Role of MPI, OpenMP, & NUMA Affinity.",,,2025,Conference review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,,
